Province,Day,Min Price,Max Price,Avg Price,Avg Selling Price
Jawa Tengah,2023-03-10,5650.0000000000000000,5800.0000000000000000,5733.3333333333333333,5729.6313364055295
Jawa Tengah,2023-03-11,5700.0000000000000000,6100.0000000000000000,5828.5714285714285714,5850.213745478461
Jawa Tengah,2023-03-12,6100.0000000000000000,6100.0000000000000000,6100.0000000000000000,6100.0
Jawa Tengah,2023-03-13,5650.0000000000000000,5700.0000000000000000,5690.0000000000000000,5691.768375372932
Jawa Tengah,2023-03-14,5700.0000000000000000,5900.0000000000000000,5809.0909090909090909,5821.538612501226
Jawa Tengah,2023-03-15,5700.0000000000000000,5900.0000000000000000,5830.4347826086956522,5835.900812934284
Jawa Tengah,2023-03-16,5700.0000000000000000,5900.0000000000000000,5757.1428571428571429,5782.929782082325
Jawa Tengah,2023-03-17,5650.0000000000000000,5900.0000000000000000,5782.1428571428571429,5781.672572131029
Jawa Tengah,2023-03-18,5650.0000000000000000,5800.0000000000000000,5700.0000000000000000,5703.2712632108705
Jawa Tengah,2023-03-20,5650.0000000000000000,5650.0000000000000000,5650.0000000000000000,5650.0
Jawa Tengah,2023-03-21,5650.0000000000000000,5800.0000000000000000,5710.0000000000000000,5710.134215133243
Jawa Tengah,2023-03-22,5650.0000000000000000,5800.0000000000000000,5775.0000000000000000,5771.119842829076
Jawa Tengah,2023-03-24,5650.0000000000000000,5800.0000000000000000,5757.1428571428571429,5756.763190184049
Jawa Tengah,2023-03-25,5650.0000000000000000,5950.0000000000000000,5707.6923076923076923,5709.8400445646985
Jawa Tengah,2023-03-27,5650.0000000000000000,5800.0000000000000000,5767.8571428571428571,5766.490150391866
Jawa Tengah,2023-03-28,5650.0000000000000000,5800.0000000000000000,5762.5000000000000000,5759.930634201585
Jawa Tengah,2023-03-29,5650.0000000000000000,5650.0000000000000000,5650.0000000000000000,5650.0
Jawa Tengah,2023-03-30,5650.0000000000000000,5800.0000000000000000,5737.5000000000000000,5730.986244970525
Jawa Tengah,2023-03-31,5650.0000000000000000,5800.0000000000000000,5766.6666666666666667,5763.319080087831
